# of domain, cohortId1, cohortId2, cohort diff
0 , 1890 , 1890 , 0
1 , 1890 , 1890 , 0
2 , 1890 , 1890 , 0
3 , 1890 , 1890 , 0
4 , 1890 , 1890 , 0
5 , 1890 , 1890 , 0
6 , 1890 , 1890 , 0
7 , 1890 , 1911 , -21
8 , 1890 , 1911 , -21
9 , 1890 , 1911 , -21
10 , 1890 , 1911 , -21
11 , 1890 , 1890 , 0
12 , 1890 , 1890 , 0
13 , 1890 , 1890 , 0
14 , 1890 , 1911 , -21
15 , 1890 , 1911 , -21
16 , 1890 , 1911 , -21
17 , 1890 , 1911 , -21
18 , 1890 , 1911 , -21
19 , 1890 , 1911 , -21
20 , 1890 , 1911 , -21
21 , 1890 , 1911 , -21
22 , 1890 , 1911 , -21
23 , 1890 , 1911 , -21
24 , 1890 , 1911 , -21
25 , 1890 , 1911 , -21
26 , 1890 , 1911 , -21
27 , 1890 , 1911 , -21
28 , 1890 , 1911 , -21
29 , 1890 , 1911 , -21
30 , 1890 , 1911 , -21
31 , 1890 , 1911 , -21
32 , 1890 , 1890 , 0
33 , 1890 , 1890 , 0
34 , 1890 , 1890 , 0
35 , 1890 , 1890 , 0
36 , 1890 , 295 , 1595
37 , 1890 , 1890 , 0
38 , 1890 , 295 , 1595
39 , 1890 , 295 , 1595
40 , 1890 , 295 , 1595
41 , 1890 , 295 , 1595
42 , 1890 , 295 , 1595
43 , 1890 , 295 , 1595
44 , 1890 , 295 , 1595
45 , 1890 , 295 , 1595
46 , 1890 , 295 , 1595
47 , 1890 , 295 , 1595
48 , 1890 , 295 , 1595
49 , 1890 , 295 , 1595
50 , 1890 , 295 , 1595
51 , 1890 , 295 , 1595
52 , 1890 , 295 , 1595
53 , 1890 , 295 , 1595
54 , 1890 , 295 , 1595
55 , 1890 , 295 , 1595
56 , 1890 , 295 , 1595
57 , 1890 , 295 , 1595
58 , 1890 , 295 , 1595
59 , 1890 , 295 , 1595
60 , 1890 , 1890 , 0
61 , 1890 , 1890 , 0
62 , 1890 , 1890 , 0
63 , 1890 , 1890 , 0
64 , 1890 , 1890 , 0
65 , 1890 , 1890 , 0
66 , 1890 , 1890 , 0
67 , 1890 , 1890 , 0
68 , 1890 , 1890 , 0
69 , 1890 , 1890 , 0
70 , 1890 , 1890 , 0
71 , 1890 , 1890 , 0
72 , 1890 , 1890 , 0
73 , 1890 , 1890 , 0
74 , 1890 , 1890 , 0
75 , 1890 , 295 , 1595
76 , 1890 , 295 , 1595
77 , 1890 , 295 , 1595
78 , 1890 , 295 , 1595
79 , 1890 , 295 , 1595
80 , 1890 , 295 , 1595
81 , 1890 , 295 , 1595
82 , 1890 , 295 , 1595
83 , 1890 , 1890 , 0
84 , 1890 , 295 , 1595
85 , 1890 , 295 , 1595
86 , 1890 , 295 , 1595
87 , 1890 , 295 , 1595
88 , 1890 , 295 , 1595
89 , 1890 , 1890 , 0
90 , 1890 , 1890 , 0
91 , 1890 , 1890 , 0
92 , 1890 , 1890 , 0
93 , 1890 , 1890 , 0
94 , 1890 , 295 , 1595
95 , 1890 , 295 , 1595
96 , 1890 , 1890 , 0
97 , 1890 , 1890 , 0
98 , 1890 , 295 , 1595
99 , 1890 , 1890 , 0
100 , 1890 , 1890 , 0
101 , 1890 , 1890 , 0
102 , 1890 , 295 , 1595
103 , 1890 , 1890 , 0
104 , 1890 , 295 , 1595
105 , 1890 , 295 , 1595
106 , 1890 , 295 , 1595
107 , 1890 , 1890 , 0
108 , 1890 , 1890 , 0
109 , 1890 , 295 , 1595
110 , 1890 , 1890 , 0
111 , 1890 , 1890 , 0
112 , 1890 , 1911 , -21
113 , 1890 , 295 , 1595
114 , 1890 , 315 , 1575
115 , 1890 , 295 , 1595
116 , 1890 , 7729 , -5839
117 , 1890 , 7729 , -5839
118 , 1890 , 7729 , -5839
119 , 1890 , 7729 , -5839
120 , 1890 , 7729 , -5839
121 , 1890 , 7729 , -5839
122 , 1890 , 7729 , -5839
123 , 1890 , 7754 , -5864
124 , 1890 , 7754 , -5864
125 , 1890 , 7729 , -5839
126 , 1890 , 7729 , -5839
127 , 1890 , 295 , 1595
128 , 1890 , 295 , 1595
129 , 1890 , 7729 , -5839
130 , 1890 , 7729 , -5839
131 , 1890 , 295 , 1595
132 , 1890 , 7729 , -5839
133 , 1890 , 7729 , -5839
134 , 1890 , 7729 , -5839
135 , 1890 , 295 , 1595
136 , 1890 , 295 , 1595
137 , 1890 , 295 , 1595
138 , 1890 , 295 , 1595
139 , 1890 , 295 , 1595
140 , 1890 , 295 , 1595
141 , 1890 , 295 , 1595
142 , 1890 , 295 , 1595
143 , 1890 , 7729 , -5839
144 , 1890 , 7729 , -5839
145 , 1890 , 295 , 1595
146 , 1890 , 7729 , -5839
147 , 1890 , 7729 , -5839
148 , 1890 , 7729 , -5839
149 , 1890 , 7729 , -5839
150 , 1890 , 7729 , -5839
151 , 1890 , 7729 , -5839
152 , 1890 , 7729 , -5839
153 , 1890 , 7729 , -5839
154 , 1890 , 7729 , -5839
155 , 1890 , 7729 , -5839
156 , 1890 , 7729 , -5839
157 , 1890 , 7732 , -5842
158 , 1890 , 7729 , -5839
159 , 1890 , 7732 , -5842
160 , 1890 , 7732 , -5842
161 , 1890 , 7732 , -5842
162 , 1890 , 7729 , -5839
163 , 1890 , 7729 , -5839
164 , 1890 , 7729 , -5839
165 , 1890 , 7729 , -5839
166 , 1890 , 7729 , -5839
167 , 1890 , 7729 , -5839
168 , 1890 , 7729 , -5839
169 , 1890 , 7729 , -5839
170 , 1890 , 7729 , -5839
171 , 1890 , 7729 , -5839
172 , 1890 , 7729 , -5839
173 , 1890 , 7729 , -5839
174 , 1890 , 7729 , -5839
175 , 1890 , 7729 , -5839
176 , 1890 , 7729 , -5839
177 , 1890 , 7729 , -5839
178 , 1890 , 7729 , -5839
179 , 1890 , 7729 , -5839
180 , 1890 , 7729 , -5839
181 , 1890 , 7729 , -5839
182 , 1890 , 7729 , -5839
183 , 1890 , 7729 , -5839
184 , 1890 , 7729 , -5839
185 , 1890 , 7729 , -5839
186 , 1890 , 7729 , -5839
187 , 1890 , 7729 , -5839
188 , 1890 , 7729 , -5839
189 , 1890 , 7729 , -5839
190 , 1890 , 7729 , -5839
191 , 1890 , 7732 , -5842
192 , 1890 , 7732 , -5842
