# of domain, cohortId1, cohortId2, cohort diff
0 , 1909 , 1909 , 0
1 , 1909 , 1909 , 0
2 , 1909 , 1909 , 0
3 , 1909 , 1909 , 0
4 , 1909 , 1909 , 0
5 , 1909 , 1909 , 0
6 , 1909 , 1909 , 0
7 , 1909 , 1909 , 0
8 , 1909 , 1909 , 0
9 , 1909 , 1909 , 0
10 , 1909 , 1909 , 0
11 , 1909 , 1909 , 0
12 , 1909 , 1911 , -2
13 , 1909 , 1911 , -2
14 , 1909 , 1911 , -2
15 , 1909 , 1909 , 0
16 , 1909 , 1909 , 0
17 , 1909 , 1909 , 0
18 , 1909 , 1909 , 0
19 , 1909 , 1909 , 0
20 , 1909 , 1909 , 0
21 , 1909 , 1909 , 0
22 , 1909 , 1909 , 0
23 , 1909 , 1909 , 0
24 , 1909 , 1909 , 0
25 , 1909 , 1909 , 0
26 , 1909 , 1909 , 0
27 , 1909 , 1909 , 0
28 , 1909 , 1909 , 0
29 , 1909 , 1909 , 0
30 , 1909 , 1909 , 0
31 , 1909 , 1909 , 0
32 , 1909 , 1909 , 0
33 , 1909 , 1911 , -2
34 , 1909 , 1911 , -2
35 , 1909 , 1911 , -2
36 , 1909 , 1911 , -2
37 , 1909 , 1911 , -2
38 , 1909 , 1911 , -2
39 , 1909 , 1911 , -2
40 , 1909 , 1911 , -2
41 , 1909 , 1911 , -2
42 , 1909 , 1911 , -2
43 , 1909 , 1911 , -2
44 , 1909 , 1911 , -2
45 , 1909 , 1911 , -2
46 , 1909 , 1911 , -2
47 , 1909 , 1911 , -2
48 , 1909 , 1911 , -2
49 , 1909 , 1911 , -2
50 , 1909 , 1911 , -2
51 , 1909 , 1911 , -2
52 , 1909 , 1911 , -2
53 , 1909 , 1911 , -2
54 , 1909 , 1911 , -2
55 , 1909 , 1911 , -2
56 , 1909 , 1911 , -2
57 , 1909 , 1911 , -2
58 , 1909 , 1911 , -2
59 , 1909 , 1911 , -2
60 , 1909 , 1911 , -2
61 , 1909 , 1911 , -2
62 , 1909 , 1911 , -2
63 , 1909 , 1911 , -2
64 , 1909 , 1911 , -2
65 , 1909 , 1911 , -2
66 , 1909 , 1911 , -2
67 , 1909 , 1911 , -2
68 , 1909 , 1911 , -2
69 , 1909 , 1911 , -2
70 , 1909 , 1911 , -2
71 , 1909 , 1911 , -2
72 , 1909 , 1911 , -2
73 , 1909 , 1911 , -2
74 , 1909 , 1911 , -2
75 , 1909 , 1911 , -2
76 , 1909 , 1911 , -2
77 , 1909 , 1911 , -2
78 , 1909 , 1911 , -2
79 , 1909 , 1911 , -2
80 , 1909 , 1911 , -2
81 , 1909 , 1911 , -2
82 , 1909 , 1911 , -2
83 , 1909 , 1911 , -2
84 , 1909 , 1911 , -2
85 , 1909 , 1911 , -2
86 , 1909 , 1911 , -2
87 , 1909 , 1911 , -2
88 , 1909 , 1911 , -2
89 , 1909 , 1911 , -2
90 , 1909 , 1911 , -2
91 , 1909 , 1911 , -2
92 , 1909 , 1911 , -2
93 , 1909 , 1911 , -2
94 , 1909 , 1911 , -2
95 , 1909 , 1911 , -2
96 , 1909 , 1911 , -2
97 , 1909 , 1911 , -2
98 , 1909 , 1911 , -2
99 , 1909 , 1911 , -2
100 , 1909 , 1911 , -2
101 , 1909 , 1911 , -2
102 , 1909 , 1911 , -2
103 , 1909 , 1911 , -2
104 , 1909 , 1911 , -2
105 , 1909 , 1911 , -2
106 , 1909 , 1911 , -2
107 , 1909 , 1911 , -2
108 , 1909 , 1911 , -2
109 , 1909 , 1911 , -2
110 , 1909 , 1911 , -2
111 , 1909 , 1911 , -2
112 , 1909 , 1911 , -2
113 , 1909 , 1911 , -2
114 , 1909 , 1909 , 0
115 , 1909 , 1911 , -2
116 , 1909 , 1911 , -2
117 , 1909 , 1911 , -2
118 , 1909 , 1911 , -2
119 , 1909 , 1911 , -2
120 , 1909 , 1911 , -2
121 , 1909 , 1911 , -2
122 , 1909 , 1911 , -2
123 , 1909 , 1909 , 0
124 , 1909 , 1911 , -2
125 , 1909 , 1911 , -2
126 , 1909 , 1911 , -2
127 , 1909 , 1911 , -2
128 , 1909 , 1911 , -2
129 , 1909 , 1911 , -2
130 , 1909 , 1911 , -2
131 , 1909 , 1911 , -2
132 , 1909 , 1911 , -2
133 , 1909 , 1911 , -2
134 , 1909 , 1911 , -2
135 , 1909 , 1911 , -2
136 , 1909 , 1909 , 0
137 , 1909 , 1911 , -2
138 , 1909 , 1911 , -2
139 , 1909 , 1911 , -2
140 , 1909 , 1911 , -2
141 , 1909 , 1911 , -2
142 , 1909 , 1911 , -2
143 , 1909 , 1911 , -2
144 , 1909 , 1911 , -2
145 , 1909 , 1909 , 0
146 , 1909 , 1911 , -2
147 , 1909 , 1909 , 0
148 , 1909 , 1909 , 0
149 , 1909 , 1909 , 0
150 , 1909 , 1909 , 0
151 , 1909 , 1909 , 0
152 , 1909 , 1909 , 0
153 , 1909 , 1909 , 0
154 , 1909 , 1909 , 0
155 , 1909 , 1909 , 0
156 , 1909 , 1909 , 0
157 , 1909 , 1909 , 0
158 , 1909 , 1909 , 0
159 , 1909 , 1909 , 0
160 , 1909 , 1909 , 0
161 , 1909 , 1909 , 0
162 , 1909 , 1909 , 0
163 , 1909 , 1909 , 0
164 , 1909 , 1909 , 0
165 , 1909 , 1909 , 0
