# of domain, cohortId1, cohortId2, cohort diff
0 , 1892 , 1892 , 0
1 , 1892 , 1892 , 0
2 , 1892 , 1892 , 0
3 , 1892 , 1892 , 0
4 , 1892 , 2332 , -440
5 , 1892 , 2332 , -440
6 , 1892 , 2332 , -440
7 , 1892 , 2332 , -440
8 , 1892 , 2332 , -440
9 , 1892 , 9816 , -7924
10 , 1892 , 9816 , -7924
11 , 1892 , 9816 , -7924
12 , 1892 , 9816 , -7924
13 , 1892 , 9816 , -7924
14 , 1892 , 9816 , -7924
15 , 1892 , 9814 , -7922
16 , 1892 , 9814 , -7922
17 , 1892 , 9814 , -7922
18 , 1892 , 9814 , -7922
19 , 1892 , 9814 , -7922
20 , 1892 , 9814 , -7922
21 , 1892 , 9814 , -7922
22 , 1892 , 9814 , -7922
23 , 1892 , 9814 , -7922
24 , 1892 , 9814 , -7922
25 , 1892 , 9814 , -7922
26 , 1892 , 9814 , -7922
27 , 1892 , 9814 , -7922
28 , 1892 , 2329 , -437
29 , 1892 , 2329 , -437
30 , 1892 , 2329 , -437
31 , 1892 , 2329 , -437
32 , 1892 , 2329 , -437
33 , 1892 , 2329 , -437
34 , 1892 , 2329 , -437
35 , 1892 , 2329 , -437
36 , 1892 , 2329 , -437
37 , 1892 , 2329 , -437
38 , 1892 , 2329 , -437
39 , 1892 , 2329 , -437
40 , 1892 , 2329 , -437
41 , 1892 , 2329 , -437
42 , 1892 , 2329 , -437
43 , 1892 , 2329 , -437
44 , 1892 , 2329 , -437
45 , 1892 , 2329 , -437
46 , 1892 , 2329 , -437
47 , 1892 , 2329 , -437
48 , 1892 , 2329 , -437
49 , 1892 , 2329 , -437
50 , 1892 , 2329 , -437
51 , 1892 , 2329 , -437
52 , 1892 , 2329 , -437
53 , 1892 , 2329 , -437
54 , 1892 , 2329 , -437
55 , 1892 , 2329 , -437
56 , 1892 , 2329 , -437
57 , 1892 , 2329 , -437
58 , 1892 , 2329 , -437
59 , 1892 , 2329 , -437
60 , 1892 , 2329 , -437
61 , 1892 , 2329 , -437
62 , 1892 , 2329 , -437
63 , 1892 , 2329 , -437
64 , 1892 , 2329 , -437
65 , 1892 , 2329 , -437
66 , 1892 , 2329 , -437
67 , 1892 , 2329 , -437
68 , 1892 , 2329 , -437
69 , 1892 , 2329 , -437
70 , 1892 , 2329 , -437
71 , 1892 , 2329 , -437
72 , 1892 , 2329 , -437
73 , 1892 , 2329 , -437
74 , 1892 , 2329 , -437
75 , 1892 , 2329 , -437
76 , 1892 , 2329 , -437
77 , 1892 , 2329 , -437
78 , 1892 , 2329 , -437
79 , 1892 , 2329 , -437
80 , 1892 , 2329 , -437
81 , 1892 , 2329 , -437
82 , 1892 , 2329 , -437
83 , 1892 , 2329 , -437
84 , 1892 , 2329 , -437
85 , 1892 , 2329 , -437
86 , 1892 , 2329 , -437
87 , 1892 , 2329 , -437
88 , 1892 , 2329 , -437
89 , 1892 , 2329 , -437
90 , 1892 , 2329 , -437
91 , 1892 , 2329 , -437
92 , 1892 , 2329 , -437
93 , 1892 , 2329 , -437
94 , 1892 , 2329 , -437
95 , 1892 , 2329 , -437
96 , 1892 , 2329 , -437
97 , 1892 , 2329 , -437
98 , 1892 , 2329 , -437
99 , 1892 , 2329 , -437
100 , 1892 , 2329 , -437
101 , 1892 , 2329 , -437
102 , 1892 , 2329 , -437
103 , 1892 , 2329 , -437
104 , 1892 , 2329 , -437
105 , 1892 , 2329 , -437
106 , 1892 , 2329 , -437
107 , 1892 , 2329 , -437
108 , 1892 , 2329 , -437
109 , 1892 , 2329 , -437
110 , 1892 , 2329 , -437
111 , 1892 , 2329 , -437
112 , 1892 , 2329 , -437
113 , 1892 , 2329 , -437
114 , 1892 , 2329 , -437
115 , 1892 , 2329 , -437
116 , 1892 , 2329 , -437
117 , 1892 , 2329 , -437
118 , 1892 , 2329 , -437
119 , 1892 , 2329 , -437
120 , 1892 , 2329 , -437
121 , 1892 , 2328 , -436
122 , 1892 , 2328 , -436
123 , 1892 , 2328 , -436
124 , 1892 , 2328 , -436
125 , 1892 , 2329 , -437
126 , 1892 , 2329 , -437
127 , 1892 , 2329 , -437
128 , 1892 , 2329 , -437
129 , 1892 , 2329 , -437
130 , 1892 , 2329 , -437
