# of domain, cohortId1, cohortId2, cohort diff
0 , 9373 , 9373 , 0
1 , 9373 , 9373 , 0
2 , 9373 , 1909 , 7464
3 , 9373 , 1909 , 7464
4 , 9373 , 1909 , 7464
5 , 9373 , 1909 , 7464
6 , 9373 , 1909 , 7464
7 , 9373 , 1909 , 7464
8 , 9373 , 1909 , 7464
9 , 9373 , 1909 , 7464
10 , 9373 , 1909 , 7464
11 , 9373 , 1909 , 7464
12 , 9373 , 1909 , 7464
13 , 9373 , 1909 , 7464
14 , 9373 , 1909 , 7464
15 , 9373 , 1909 , 7464
16 , 9373 , 1909 , 7464
17 , 9373 , 1909 , 7464
18 , 9373 , 1909 , 7464
19 , 9373 , 1909 , 7464
20 , 9373 , 1909 , 7464
21 , 9373 , 1909 , 7464
22 , 9373 , 1909 , 7464
23 , 9373 , 1909 , 7464
24 , 9373 , 1909 , 7464
25 , 9373 , 1909 , 7464
26 , 9373 , 1909 , 7464
27 , 9373 , 1909 , 7464
28 , 9373 , 9373 , 0
29 , 9373 , 9373 , 0
30 , 9373 , 9373 , 0
31 , 9373 , 9373 , 0
32 , 9373 , 9373 , 0
33 , 9373 , 9373 , 0
34 , 9373 , 9373 , 0
35 , 9373 , 9373 , 0
36 , 9373 , 9373 , 0
37 , 9373 , 9373 , 0
38 , 9373 , 9373 , 0
39 , 9373 , 9373 , 0
40 , 9373 , 9373 , 0
41 , 9373 , 9373 , 0
42 , 9373 , 9375 , -2
43 , 9373 , 9375 , -2
44 , 9373 , 9375 , -2
45 , 9373 , 9375 , -2
46 , 9373 , 9375 , -2
47 , 9373 , 9375 , -2
48 , 9373 , 9375 , -2
49 , 9373 , 9375 , -2
50 , 9373 , 9375 , -2
51 , 9373 , 9375 , -2
52 , 9373 , 9375 , -2
53 , 9373 , 9375 , -2
54 , 9373 , 9375 , -2
55 , 9373 , 9375 , -2
56 , 9373 , 9375 , -2
57 , 9373 , 9375 , -2
58 , 9373 , 9375 , -2
59 , 9373 , 7754 , 1619
60 , 9373 , 7754 , 1619
61 , 9373 , 7754 , 1619
62 , 9373 , 7754 , 1619
63 , 9373 , 7754 , 1619
64 , 9373 , 7754 , 1619
65 , 9373 , 7754 , 1619
66 , 9373 , 7754 , 1619
67 , 9373 , 7754 , 1619
68 , 9373 , 7754 , 1619
69 , 9373 , 7754 , 1619
70 , 9373 , 9375 , -2
71 , 9373 , 9375 , -2
72 , 9373 , 9375 , -2
73 , 9373 , 7754 , 1619
74 , 9373 , 7754 , 1619
75 , 9373 , 7754 , 1619
76 , 9373 , 7754 , 1619
77 , 9373 , 7754 , 1619
78 , 9373 , 7754 , 1619
79 , 9373 , 7754 , 1619
80 , 9373 , 7754 , 1619
81 , 9373 , 7754 , 1619
82 , 9373 , 7754 , 1619
83 , 9373 , 7754 , 1619
84 , 9373 , 7754 , 1619
85 , 9373 , 7754 , 1619
86 , 9373 , 7754 , 1619
87 , 9373 , 7754 , 1619
88 , 9373 , 7754 , 1619
89 , 9373 , 7754 , 1619
90 , 9373 , 7754 , 1619
91 , 9373 , 7754 , 1619
92 , 9373 , 7754 , 1619
93 , 9373 , 7754 , 1619
94 , 9373 , 9375 , -2
95 , 9373 , 9375 , -2
96 , 9373 , 9375 , -2
97 , 9373 , 7754 , 1619
98 , 9373 , 7754 , 1619
99 , 9373 , 7754 , 1619
100 , 9373 , 7754 , 1619
101 , 9373 , 9375 , -2
102 , 9373 , 7754 , 1619
103 , 9373 , 7754 , 1619
104 , 9373 , 7754 , 1619
105 , 9373 , 7754 , 1619
106 , 9373 , 9375 , -2
107 , 9373 , 9375 , -2
108 , 9373 , 9375 , -2
109 , 9373 , 9375 , -2
110 , 9373 , 9375 , -2
111 , 9373 , 7754 , 1619
112 , 9373 , 7754 , 1619
113 , 9373 , 7754 , 1619
114 , 9373 , 7754 , 1619
115 , 9373 , 9375 , -2
116 , 9373 , 7754 , 1619
117 , 9373 , 7754 , 1619
118 , 9373 , 7754 , 1619
119 , 9373 , 7754 , 1619
120 , 9373 , 7754 , 1619
121 , 9373 , 7752 , 1621
122 , 9373 , 7754 , 1619
123 , 9373 , 7754 , 1619
124 , 9373 , 7754 , 1619
125 , 9373 , 7754 , 1619
126 , 9373 , 7754 , 1619
127 , 9373 , 7754 , 1619
128 , 9373 , 7754 , 1619
129 , 9373 , 7754 , 1619
130 , 9373 , 7754 , 1619
131 , 9373 , 9375 , -2
132 , 9373 , 7754 , 1619
133 , 9373 , 7754 , 1619
134 , 9373 , 7754 , 1619
135 , 9373 , 7754 , 1619
136 , 9373 , 7754 , 1619
137 , 9373 , 7754 , 1619
138 , 9373 , 7754 , 1619
139 , 9373 , 7754 , 1619
140 , 9373 , 7754 , 1619
141 , 9373 , 7754 , 1619
142 , 9373 , 9375 , -2
143 , 9373 , 9375 , -2
144 , 9373 , 9375 , -2
145 , 9373 , 9373 , 0
146 , 9373 , 9373 , 0
147 , 9373 , 9375 , -2
148 , 9373 , 9373 , 0
149 , 9373 , 9375 , -2
150 , 9373 , 9375 , -2
151 , 9373 , 9375 , -2
152 , 9373 , 9375 , -2
153 , 9373 , 9375 , -2
154 , 9373 , 9373 , 0
155 , 9373 , 9375 , -2
156 , 9373 , 9373 , 0
157 , 9373 , 9373 , 0
158 , 9373 , 7754 , 1619
159 , 9373 , 7752 , 1621
160 , 9373 , 7752 , 1621
161 , 9373 , 7752 , 1621
162 , 9373 , 7752 , 1621
163 , 9373 , 7752 , 1621
164 , 9373 , 7752 , 1621
165 , 9373 , 7752 , 1621
166 , 9373 , 7752 , 1621
167 , 9373 , 7752 , 1621
168 , 9373 , 7752 , 1621
169 , 9373 , 7752 , 1621
170 , 9373 , 7752 , 1621
171 , 9373 , 7752 , 1621
172 , 9373 , 7752 , 1621
173 , 9373 , 7752 , 1621
174 , 9373 , 7752 , 1621
175 , 9373 , 7752 , 1621
176 , 9373 , 7752 , 1621
177 , 9373 , 7752 , 1621
178 , 9373 , 7752 , 1621
179 , 9373 , 7752 , 1621
180 , 9373 , 7752 , 1621
181 , 9373 , 7752 , 1621
182 , 9373 , 7752 , 1621
183 , 9373 , 7752 , 1621
184 , 9373 , 7754 , 1619
185 , 9373 , 7754 , 1619
186 , 9373 , 7754 , 1619
187 , 9373 , 7754 , 1619
188 , 9373 , 7754 , 1619
189 , 9373 , 7754 , 1619
190 , 9373 , 7754 , 1619
191 , 9373 , 7754 , 1619
192 , 9373 , 7754 , 1619
193 , 9373 , 7754 , 1619
194 , 9373 , 7754 , 1619
195 , 9373 , 7754 , 1619
196 , 9373 , 7754 , 1619
197 , 9373 , 7754 , 1619
198 , 9373 , 7754 , 1619
199 , 9373 , 7754 , 1619
200 , 9373 , 7754 , 1619
201 , 9373 , 7754 , 1619
202 , 9373 , 7754 , 1619
203 , 9373 , 7754 , 1619
204 , 9373 , 7754 , 1619
205 , 9373 , 7754 , 1619
206 , 9373 , 7754 , 1619
207 , 9373 , 7754 , 1619
208 , 9373 , 7754 , 1619
209 , 9373 , 7754 , 1619
210 , 9373 , 7754 , 1619
211 , 9373 , 7754 , 1619
212 , 9373 , 7754 , 1619
213 , 9373 , 7754 , 1619
214 , 9373 , 7752 , 1621
215 , 9373 , 7754 , 1619
216 , 9373 , 7754 , 1619
217 , 9373 , 7754 , 1619
218 , 9373 , 7754 , 1619
219 , 9373 , 7754 , 1619
220 , 9373 , 7754 , 1619
221 , 9373 , 7754 , 1619
222 , 9373 , 7754 , 1619
223 , 9373 , 7754 , 1619
224 , 9373 , 7754 , 1619
225 , 9373 , 7754 , 1619
226 , 9373 , 7752 , 1621
227 , 9373 , 7754 , 1619
228 , 9373 , 7754 , 1619
229 , 9373 , 7754 , 1619
230 , 9373 , 7754 , 1619
231 , 9373 , 7754 , 1619
232 , 9373 , 7754 , 1619
233 , 9373 , 7754 , 1619
234 , 9373 , 7754 , 1619
235 , 9373 , 7754 , 1619
236 , 9373 , 7754 , 1619
237 , 9373 , 7754 , 1619
238 , 9373 , 7754 , 1619
239 , 9373 , 7754 , 1619
240 , 9373 , 7754 , 1619
241 , 9373 , 7754 , 1619
242 , 9373 , 7754 , 1619
243 , 9373 , 7754 , 1619
244 , 9373 , 7754 , 1619
245 , 9373 , 7754 , 1619
246 , 9373 , 7754 , 1619
247 , 9373 , 7754 , 1619
248 , 9373 , 7754 , 1619
249 , 9373 , 7754 , 1619
250 , 9373 , 7754 , 1619
251 , 9373 , 7754 , 1619
252 , 9373 , 7752 , 1621
253 , 9373 , 7752 , 1621
254 , 9373 , 7752 , 1621
255 , 9373 , 7752 , 1621
256 , 9373 , 7752 , 1621
257 , 9373 , 7752 , 1621
258 , 9373 , 7752 , 1621
259 , 9373 , 7752 , 1621
260 , 9373 , 7752 , 1621
261 , 9373 , 7752 , 1621
262 , 9373 , 7752 , 1621
263 , 9373 , 7752 , 1621
264 , 9373 , 7752 , 1621
265 , 9373 , 7752 , 1621
266 , 9373 , 7752 , 1621
267 , 9373 , 7752 , 1621
268 , 9373 , 7752 , 1621
269 , 9373 , 7752 , 1621
270 , 9373 , 7752 , 1621
271 , 9373 , 7752 , 1621
272 , 9373 , 7752 , 1621
273 , 9373 , 7752 , 1621
