# of domain, cohortId1, cohortId2, cohort diff
0 , 17721 , 17721 , 0
1 , 17721 , 17721 , 0
2 , 17721 , 17721 , 0
3 , 17721 , 17701 , 20
4 , 17721 , 17701 , 20
5 , 17721 , 17701 , 20
6 , 17721 , 17701 , 20
7 , 17721 , 17701 , 20
8 , 17721 , 17701 , 20
9 , 17721 , 17701 , 20
10 , 17721 , 17701 , 20
11 , 17721 , 17701 , 20
12 , 17721 , 17701 , 20
13 , 17721 , 17701 , 20
14 , 17721 , 17701 , 20
15 , 17721 , 17701 , 20
16 , 17721 , 17701 , 20
17 , 17721 , 17701 , 20
18 , 17721 , 17701 , 20
19 , 17721 , 17701 , 20
20 , 17721 , 17701 , 20
21 , 17721 , 17701 , 20
22 , 17721 , 17701 , 20
23 , 17721 , 17701 , 20
24 , 17721 , 17701 , 20
25 , 17721 , 17701 , 20
26 , 17721 , 17701 , 20
27 , 17721 , 16638 , 1083
28 , 17721 , 16638 , 1083
29 , 17721 , 16638 , 1083
30 , 17721 , 16638 , 1083
31 , 17721 , 16638 , 1083
32 , 17721 , 16638 , 1083
33 , 17721 , 16638 , 1083
34 , 17721 , 16638 , 1083
35 , 17721 , 16638 , 1083
36 , 17721 , 17161 , 560
37 , 17721 , 17161 , 560
38 , 17721 , 17161 , 560
39 , 17721 , 17189 , 532
40 , 17721 , 17161 , 560
41 , 17721 , 17161 , 560
42 , 17721 , 17161 , 560
43 , 17721 , 17161 , 560
44 , 17721 , 17161 , 560
45 , 17721 , 17161 , 560
46 , 17721 , 17161 , 560
47 , 17721 , 17161 , 560
48 , 17721 , 17161 , 560
49 , 17721 , 17161 , 560
50 , 17721 , 17161 , 560
51 , 17721 , 17161 , 560
52 , 17721 , 17161 , 560
53 , 17721 , 18118 , -397
54 , 17721 , 18118 , -397
55 , 17721 , 18118 , -397
56 , 17721 , 18118 , -397
57 , 17721 , 18118 , -397
58 , 17721 , 18118 , -397
59 , 17721 , 17161 , 560
60 , 17721 , 17161 , 560
61 , 17721 , 17161 , 560
62 , 17721 , 18118 , -397
63 , 17721 , 18118 , -397
64 , 17721 , 17161 , 560
65 , 17721 , 17161 , 560
66 , 17721 , 17161 , 560
67 , 17721 , 17161 , 560
68 , 17721 , 17161 , 560
69 , 17721 , 17161 , 560
70 , 17721 , 17161 , 560
71 , 17721 , 17161 , 560
72 , 17721 , 17161 , 560
73 , 17721 , 17161 , 560
74 , 17721 , 17161 , 560
75 , 17721 , 17161 , 560
76 , 17721 , 17161 , 560
77 , 17721 , 17161 , 560
78 , 17721 , 17161 , 560
79 , 17721 , 17161 , 560
80 , 17721 , 17161 , 560
81 , 17721 , 17161 , 560
82 , 17721 , 17161 , 560
83 , 17721 , 17161 , 560
84 , 17721 , 17161 , 560
85 , 17721 , 18118 , -397
86 , 17721 , 18137 , -416
87 , 17721 , 17189 , 532
88 , 17721 , 17189 , 532
89 , 17721 , 17189 , 532
90 , 17721 , 18137 , -416
91 , 17721 , 18137 , -416
92 , 17721 , 18137 , -416
93 , 17721 , 18137 , -416
94 , 17721 , 27613 , -9892
95 , 17721 , 27613 , -9892
96 , 17721 , 33445 , -15724
97 , 17721 , 33684 , -15963
98 , 17721 , 33417 , -15696
99 , 17721 , 33417 , -15696
100 , 17721 , 23312 , -5591
