# of domain, cohortId1, cohortId2, cohort diff
226 , 315 , 315 , 0
227 , 315 , 315 , 0
228 , 315 , 315 , 0
229 , 315 , 315 , 0
230 , 315 , 315 , 0
231 , 315 , 315 , 0
232 , 315 , 315 , 0
233 , 315 , 315 , 0
234 , 315 , 315 , 0
235 , 315 , 315 , 0
236 , 315 , 315 , 0
237 , 315 , 315 , 0
238 , 315 , 315 , 0
239 , 315 , 315 , 0
240 , 315 , 315 , 0
241 , 315 , 315 , 0
242 , 315 , 315 , 0
243 , 315 , 315 , 0
244 , 315 , 315 , 0
245 , 315 , 315 , 0
246 , 315 , 315 , 0
247 , 315 , 315 , 0
248 , 315 , 315 , 0
249 , 315 , 315 , 0
250 , 315 , 315 , 0
251 , 315 , 315 , 0
252 , 315 , 315 , 0
253 , 315 , 315 , 0
254 , 315 , 315 , 0
255 , 315 , 315 , 0
256 , 315 , 315 , 0
257 , 315 , 315 , 0
258 , 315 , 315 , 0
259 , 315 , 315 , 0
260 , 315 , 315 , 0
261 , 315 , 315 , 0
262 , 315 , 315 , 0
263 , 315 , 315 , 0
264 , 315 , 315 , 0
265 , 315 , 315 , 0
266 , 315 , 315 , 0
267 , 315 , 315 , 0
268 , 315 , 315 , 0
269 , 315 , 315 , 0
270 , 315 , 315 , 0
271 , 315 , 315 , 0
272 , 315 , 315 , 0
273 , 315 , 315 , 0
274 , 315 , 315 , 0
275 , 315 , 315 , 0
276 , 315 , 315 , 0
277 , 315 , 315 , 0
278 , 315 , 315 , 0
279 , 315 , 315 , 0
280 , 315 , 315 , 0
281 , 315 , 315 , 0
282 , 315 , 315 , 0
283 , 315 , 315 , 0
284 , 315 , 315 , 0
285 , 315 , 315 , 0
286 , 315 , 315 , 0
287 , 315 , 315 , 0
288 , 315 , 315 , 0
289 , 315 , 315 , 0
290 , 315 , 315 , 0
291 , 315 , 7754 , -7439
292 , 315 , 7754 , -7439
293 , 315 , 7754 , -7439
294 , 315 , 7754 , -7439
295 , 315 , 7754 , -7439
296 , 315 , 315 , 0
297 , 315 , 315 , 0
298 , 315 , 315 , 0
299 , 315 , 315 , 0
300 , 315 , 315 , 0
301 , 315 , 315 , 0
302 , 315 , 315 , 0
303 , 315 , 315 , 0
304 , 315 , 315 , 0
305 , 315 , 315 , 0
306 , 315 , 315 , 0
307 , 315 , 315 , 0
308 , 315 , 315 , 0
309 , 315 , 315 , 0
310 , 315 , 315 , 0
311 , 315 , 315 , 0
312 , 315 , 315 , 0
313 , 315 , 315 , 0
314 , 315 , 315 , 0
315 , 315 , 315 , 0
316 , 315 , 315 , 0
