# of domain, cohortId1, cohortId2, cohort diff
0 , 17435 , 17435 , 0
1 , 17435 , 17435 , 0
2 , 17435 , 17435 , 0
3 , 17435 , 17435 , 0
4 , 17435 , 17435 , 0
5 , 17435 , 17435 , 0
6 , 17435 , 17435 , 0
7 , 17435 , 17435 , 0
8 , 17435 , 17435 , 0
9 , 17435 , 17435 , 0
10 , 17435 , 17435 , 0
11 , 17435 , 17435 , 0
12 , 17435 , 17435 , 0
13 , 17435 , 2329 , 15106
14 , 17435 , 2329 , 15106
15 , 17435 , 2329 , 15106
16 , 17435 , 2329 , 15106
17 , 17435 , 2329 , 15106
18 , 17435 , 2329 , 15106
19 , 17435 , 2329 , 15106
20 , 17435 , 2329 , 15106
21 , 17435 , 2329 , 15106
22 , 17435 , 2329 , 15106
23 , 17435 , 2329 , 15106
24 , 17435 , 2329 , 15106
25 , 17435 , 2329 , 15106
26 , 17435 , 2329 , 15106
27 , 17435 , 2329 , 15106
28 , 17435 , 2329 , 15106
29 , 17435 , 2329 , 15106
30 , 17435 , 2329 , 15106
31 , 17435 , 2329 , 15106
32 , 17435 , 2329 , 15106
33 , 17435 , 2329 , 15106
34 , 17435 , 2329 , 15106
35 , 17435 , 2329 , 15106
36 , 17435 , 2329 , 15106
37 , 17435 , 2329 , 15106
38 , 17435 , 2329 , 15106
39 , 17435 , 2329 , 15106
40 , 17435 , 2329 , 15106
41 , 17435 , 2329 , 15106
42 , 17435 , 2329 , 15106
43 , 17435 , 2332 , 15103
44 , 17435 , 2332 , 15103
45 , 17435 , 2332 , 15103
46 , 17435 , 2332 , 15103
47 , 17435 , 2332 , 15103
48 , 17435 , 2332 , 15103
49 , 17435 , 2332 , 15103
50 , 17435 , 2332 , 15103
51 , 17435 , 2332 , 15103
52 , 17435 , 2332 , 15103
53 , 17435 , 2332 , 15103
54 , 17435 , 2332 , 15103
55 , 17435 , 2332 , 15103
56 , 17435 , 2353 , 15082
57 , 17435 , 2353 , 15082
58 , 17435 , 2329 , 15106
59 , 17435 , 2332 , 15103
60 , 17435 , 2332 , 15103
61 , 17435 , 2332 , 15103
62 , 17435 , 2332 , 15103
63 , 17435 , 2353 , 15082
64 , 17435 , 2353 , 15082
65 , 17435 , 2353 , 15082
66 , 17435 , 2332 , 15103
67 , 17435 , 2332 , 15103
68 , 17435 , 2332 , 15103
69 , 17435 , 2332 , 15103
70 , 17435 , 2332 , 15103
71 , 17435 , 2332 , 15103
72 , 17435 , 2332 , 15103
73 , 17435 , 2332 , 15103
74 , 17435 , 2332 , 15103
75 , 17435 , 2332 , 15103
76 , 17435 , 2332 , 15103
77 , 17435 , 2332 , 15103
78 , 17435 , 2332 , 15103
79 , 17435 , 2332 , 15103
80 , 17435 , 2332 , 15103
81 , 17435 , 2353 , 15082
82 , 17435 , 9845 , 7590
83 , 17435 , 2353 , 15082
84 , 17435 , 2332 , 15103
85 , 17435 , 2332 , 15103
86 , 17435 , 2332 , 15103
87 , 17435 , 9816 , 7619
88 , 17435 , 9816 , 7619
89 , 17435 , 9816 , 7619
90 , 17435 , 2353 , 15082
91 , 17435 , 2353 , 15082
92 , 17435 , 2353 , 15082
93 , 17435 , 9845 , 7590
94 , 17435 , 9845 , 7590
95 , 17435 , 9845 , 7590
96 , 17435 , 9816 , 7619
97 , 17435 , 9816 , 7619
98 , 17435 , 9816 , 7619
99 , 17435 , 9816 , 7619
100 , 17435 , 9816 , 7619
101 , 17435 , 9816 , 7619
102 , 17435 , 9816 , 7619
103 , 17435 , 9816 , 7619
104 , 17435 , 9816 , 7619
105 , 17435 , 9816 , 7619
106 , 17435 , 9816 , 7619
107 , 17435 , 9816 , 7619
108 , 17435 , 9845 , 7590
109 , 17435 , 9845 , 7590
110 , 17435 , 9845 , 7590
111 , 17435 , 9845 , 7590
112 , 17435 , 9845 , 7590
113 , 17435 , 9845 , 7590
114 , 17435 , 9845 , 7590
115 , 17435 , 9845 , 7590
116 , 17435 , 9845 , 7590
117 , 17435 , 9845 , 7590
118 , 17435 , 9845 , 7590
119 , 17435 , 9845 , 7590
120 , 17435 , 9845 , 7590
121 , 17435 , 9845 , 7590
122 , 17435 , 9845 , 7590
123 , 17435 , 9845 , 7590
124 , 17435 , 9845 , 7590
125 , 17435 , 9845 , 7590
126 , 17435 , 9845 , 7590
127 , 17435 , 9845 , 7590
128 , 17435 , 9845 , 7590
129 , 17435 , 9845 , 7590
130 , 17435 , 9845 , 7590
131 , 17435 , 9845 , 7590
132 , 17435 , 9845 , 7590
133 , 17435 , 9845 , 7590
134 , 17435 , 9845 , 7590
135 , 17435 , 9845 , 7590
136 , 17435 , 9845 , 7590
137 , 17435 , 9845 , 7590
138 , 17435 , 9845 , 7590
139 , 17435 , 9845 , 7590
140 , 17435 , 9845 , 7590
141 , 17435 , 9845 , 7590
142 , 17435 , 9845 , 7590
143 , 17435 , 9845 , 7590
144 , 17435 , 9845 , 7590
145 , 17435 , 9845 , 7590
146 , 17435 , 9845 , 7590
147 , 17435 , 9845 , 7590
148 , 17435 , 9845 , 7590
149 , 17435 , 9845 , 7590
150 , 17435 , 9845 , 7590
151 , 17435 , 9845 , 7590
152 , 17435 , 9845 , 7590
153 , 17435 , 9845 , 7590
154 , 17435 , 9845 , 7590
155 , 17435 , 9845 , 7590
156 , 17435 , 9845 , 7590
157 , 17435 , 9845 , 7590
158 , 17435 , 9845 , 7590
159 , 17435 , 9845 , 7590
160 , 17435 , 9845 , 7590
161 , 17435 , 9845 , 7590
162 , 17435 , 9845 , 7590
163 , 17435 , 9845 , 7590
164 , 17435 , 9843 , 7592
165 , 17435 , 9845 , 7590
166 , 17435 , 9845 , 7590
167 , 17435 , 9845 , 7590
168 , 17435 , 9845 , 7590
169 , 17435 , 9843 , 7592
170 , 17435 , 9845 , 7590
171 , 17435 , 9845 , 7590
172 , 17435 , 9845 , 7590
173 , 17435 , 9845 , 7590
174 , 17435 , 9845 , 7590
175 , 17435 , 9845 , 7590
176 , 17435 , 9845 , 7590
177 , 17435 , 9845 , 7590
178 , 17435 , 9843 , 7592
179 , 17435 , 9845 , 7590
180 , 17435 , 9845 , 7590
181 , 17435 , 9845 , 7590
182 , 17435 , 9845 , 7590
