# of domain, cohortId1, cohortId2, diff
198 , 17721 , 17721 , 0
199 , 17721 , 17721 , 0
200 , 17721 , 17721 , 0
201 , 17721 , 22799 , -5078
202 , 22821 , 17721 , 5100
203 , 17721 , 17721 , 0
204 , 22821 , 22821 , 0
205 , 22821 , 22821 , 0
206 , 22821 , 22821 , 0
207 , 22821 , 22821 , 0
208 , 22821 , 17721 , 5100
209 , 22821 , 22821 , 0
210 , 22821 , 22821 , 0
211 , 22821 , 17721 , 5100
212 , 17721 , 17721 , 0
213 , 17721 , 22821 , -5100
214 , 22821 , 22821 , 0
215 , 17721 , 17721 , 0
216 , 17721 , 22821 , -5100
217 , 22821 , 22821 , 0
218 , 17721 , 17721 , 0
219 , 22821 , 17721 , 5100
220 , 17721 , 22821 , -5100
221 , 22821 , 22821 , 0
222 , 22821 , 17721 , 5100
223 , 17721 , 17721 , 0
224 , 17721 , 22821 , -5100
225 , 22821 , 17721 , 5100
226 , 17721 , 17721 , 0
227 , 22821 , 22821 , 0
228 , 22821 , 17721 , 5100
229 , 17721 , 22821 , -5100
230 , 22821 , 17721 , 5100
231 , 17721 , 22821 , -5100
232 , 22821 , 22821 , 0
233 , 17721 , 17721 , 0
234 , 22821 , 17722 , 5099
235 , 22822 , 22822 , 0
236 , 22822 , 22822 , 0
237 , 22822 , 17721 , 5101
238 , 17721 , 22822 , -5101
239 , 22822 , 22822 , 0
240 , 17722 , 22822 , -5100
241 , 22822 , 17722 , 5100
242 , 17722 , 22822 , -5100
243 , 22822 , 17722 , 5100
244 , 17722 , 17722 , 0
245 , 17722 , 22821 , -5099
246 , 17721 , 17722 , -1
247 , 17722 , 17722 , 0
248 , 17721 , 17721 , 0
249 , 17722 , 17721 , 1
250 , 17721 , 17721 , 0
251 , 17721 , 17721 , 0
252 , 17721 , 17721 , 0
253 , 17721 , 17721 , 0
254 , 17721 , 17721 , 0
255 , 17721 , 17721 , 0
256 , 17721 , 27153 , -9432
257 , 27153 , 17721 , 9432
258 , 17721 , 17721 , 0
259 , 27153 , 27153 , 0
260 , 27153 , 27153 , 0
261 , 27153 , 27153 , 0
262 , 27153 , 32879 , -5726
263 , 27153 , 27153 , 0
264 , 27153 , 27153 , 0
265 , 27153 , 27153 , 0
266 , 27153 , 27153 , 0
267 , 27153 , 27130 , 23
268 , 27130 , 27153 , -23
269 , 27153 , 27153 , 0
270 , 27153 , 27130 , 23
271 , 27130 , 27130 , 0
272 , 27153 , 27153 , 0
273 , 27153 , 27153 , 0
274 , 27130 , 27130 , 0
275 , 27130 , 27153 , -23
276 , 27153 , 27153 , 0
277 , 32852 , 27130 , 5722
